,content,domain
0,"Rafael Nadal said Monday he has tested positive for Covid-19 on his return to Spain from Abu Dhabi where he took part in an exhibition tournament last week.""I am now confined at home and have informed the people who had been in contact with me,"" he wrote on Twitter.The Spanish former world number one had been due to fly to Melbourne later this month to compete in an ATP event ahead of the Australian Open.",sports
1,"14-day self-isolation of two cricketers of the Bangladesh women's team came to an end as Bangladesh Cricket Board's (BCB) chief physician Dr. Debashish Chowdhury confirmed that their recent Covid-19 tests returned negative today.These cricketers had tested positive for coronavirus after returning from Zimbabwe earlier this month following the World Cup qualifiers, which was halted midway due to emergence of a new Covid-19 variant in Africa.""Both cricketers returned negative and they are okay. They will go back to their respective homes,"" Dr. Debashish stated.These two cricketers were the first victims of Omicron [the latest variant of coronavirus] in Bangladesh. Fortunately, they had mild symptoms and did not face any physical difficulties. Now the clearance enables these Tigresses to socialise after a couple of weeks of quarantine.Earlier, the rest of the Tigresses were moved to the BCB Academy where they had undergone 14-day mandatory quarantine since returning to country. Followed by their latest Covid-19 test results [which all returned negative], they were discharged and sent home ahead of Victory Day last week.",sports
2,"Australia beat England by 275 runs in the day-night second Ashes Test at the Adelaide Oval on Monday to go 2-0 up in the five-match series.Chasing a daunting victory target of 468, England were all out for 192 in the final session of the pink-ball contest.Chris Woakes' 44 was the highest individual score in England's abject second innings batting display, while Jos Buttler frustrated Australia for a while with a dogged 26 off 207 balls.Jhye Richardson was the pick of the Australian bowlers, claiming 5-42.The third Test begins in Melbourne on Sunday. ",sports
3,"As build-up to the upcoming ICC Under-19 Cricket World Cup in the West Indies next year, the Bangladesh Under-19 team are scheduled to depart for UAE tomorrow to take part in the ACC Asia Cup.Bangladesh will feature in group B of the tournament and kick off campaign against Nepal on December 24 at the Sharjah Cricket Stadium. Rakibul Hasan and his troop will also face Kuwait and Sri Lanka on December 25 and 28, respectively, in the group stage.A lot will be expected from Bangladesh, even though the defending champions could not engage in the best of preparations ahead of the World Cup compared to the previous edition. Prior to their successful World Cup campaign last year, the young Tigers played 35 matches, whereas the current team have played just 13 games before heading to the Asia Cup this time around.Head coach Navid Newaz is not too bothered about the comparative lack of preparation and the pressure of defending the title.""Not exactly [feeling pressure] because we have been with this group for almost one year now with pandemic scenario, in and out. Besides, we have come to an understanding that this is the way we are going to play our cricket,"" Navid told the media today.""And being the defending champions last year, we are prepared to use the pressure [of title-defense] to our advantage instead of feeling it [negatively]. ""We have to make sure we take every game one at a time, which is the most important thing going into a tournament,"" the head coach stated.  The U-19s, after completing the Asia Cup, will travel directly to the West Indies from the UAE to take part in the ICC Under-19 World Cup, scheduled to begin from January 15. ",sports
4,"There have been insinuations, remarks and opinions regarding all-rounder Shakib Al Hasan's involvement in Test cricket from the media, cricket experts and even board officials.Looking back, Shakib had missed a few Tests in recent years, lending credibility to arguments about his lack of interest in Tests. Opting out of the New Zealand tour and the consequent drama has put these arguments back in focus. However, there exist finer points between the two arguments that 'Shakib doesn't want to play Tests' and 'Shakib doesn't enjoy Tests'.The second Test against Pakistan in Dhaka, which Bangladesh came very close to grinding out a draw from yesterday, showcased Shakib's enjoyment but also the demotivating factors.Shakib played one of his very special knocks under pressure, but in the end the result did not go in Bangladesh's favour. When that happens, how does Shakib feel?Shakib's ability to not allow anyone to dictate terms was once again on display as he did not let the bowlers feel they were on top of him for a moment. How he dealt with spinners was exemplary. The Pakistan spin duo had a general plan for the Bangladesh batters, getting the ball to pitch right in front of the bat and getting that slight turn to do the trick for them.Shakib was able to adjust remarkably within the same delivery, from a front foot to a slightly back foot stance. He did not need to release shots like Mushfiqur Rahim for instance, but was able to make adjustments late to keep scoring. From a pressure situation, Shakib had a groove about him which took Bangladesh close to a result.A pivotal moment came when Mehedi Hasan Miraz got out to another sweep in the second innings which saw Pakistan come back into the game. As soon as the umpire had signaled not out and Pakistan went for the review, Shakib vehemently chastised Mehedi for playing that shot. Mehedi's two dismissals were significant to the fate of the match.Without arguing in Shakib's favour, when a good player sees the supporting cast fail alongside the team processes, any player has a tendency to be demotivated.Shakib's long-term mentor Nazmul Abedeen Fahim analysed the scenario for The Daily Star.""In the first innings, he counter-attacked to avoid the follow-on due to match scenario. In the second innings, I was relieved to see that he wanted to play good cricket. What he did was very difficult because you need to be in the groove for a long period of time. Unless you love the game and the challenge, you can't do that. One of his best innings,"" Fahim said.""If he was careless, he wouldn't be able to play like that,"" he said.However, once Miraz got out, Shakib changed too, even playing a lofted shot over mid-off that fell short, pointing to his dwindling morale.""Take the case of Mahmudullah Riyad. He was told some 17 months before his Test retirement that he wouldn't be considered [for Tests]. How demotivated must he have felt? But his decision was like shooting yourself in the foot. It became an emotional thing and players are going through such demotivation at the moment,"" Fahim dictated.It cannot be argued that there exists a gap in quality between the generation of the Big Five and the current crop of players.When there are no correct procedures and the existence of haphazard selection process alongside bad results on the pitch, players will find a way to relieve workload or responsibility.That may very well be the phase Shakib's Test career is going through. Not a lack of enjoyment but an existence of demotivation.",sports
5,"Tottenham Hotspur's European campaign for this season is over after UEFA awarded Rennes a 3-0 victory in their final Europa Conference League group match on Monday.Spurs were unable to fulfil the December 9 fixture due to a swathe of Covid-19 cases in the squad.As a result they finish third in the group behind group winners Rennes who progress directly to the last 16 and Dutch side Vitesse who now face Rapid Vienna in a knockout play-off.""The Uefa Appeals Body took the following decision: to declare the 2021/22 UEFA Europa Conference League group stage match between Tottenham Hotspur FC and Stade Rennais FC, that was initially scheduled to be played on 9 December 2021, as forfeited by Tottenham Hotspur FC, who is therefore deemed to have lost the match 0-3,"" read the UEFA statement.The match in London had to be called off when Spurs manager Antonio Conte announced on the eve of the game eight of his players and five members of staff had tested positive for Covid-19.Spurs have been one of the hardest hit English clubs by the resurgence of Covid-19 -- largely due to the Omicron variant -- having had to postpone league games against Brighton and Leicester as well.However, unlike many of their domestic rivals, they were able to fulfil their fixture at the weekend -- a 2-2 draw with Liverpool.",sports
6,"""The pic you've been waiting for,"" read the post from Barcelona's official Twitter account last month, above a photo of the team's new coach Xavi Hernandez talking to a smiling Frenkie de Jong.Xavi was barely into his second week as coach but the hope was that he would already have De Jong nestled under his wing, the advice flowing from one midfielder to another and the clock counting down until the flourishing of another Dutch master in Barcelona colours.For three years now, including two in Spain and his final one at Ajax, the destiny of De Jong has, through no fault of his own, defined almost everything about him as a footballer.His performances have been up and down, and mostly somewhere in between. He has been an obvious pick in Barca's starting line-up but only occasionally a stand-out performer.Against Elche at Camp Nou on Saturday, he was substituted in the second half and whistled by some of his own fans.""Maybe you don't see what he does but he's very good,"" said Xavi.""I don't think I have ever done really badly, but I know I can do better,"" De Jong told AFP in an interview last year.In some ways, the promise of what De Jong can be has been all-consuming.Honed by Ajax and instrumental for the Dutch national team, De Jong owned the two fundamental characteristics to be considered a carrier of 'Barca DNA'.As a child, he even did multiple stadium tours of Camp Nou and wore a shirt with Lionel Messi's name on the back.Perhaps the only way the anticipation could grow further was through a transfer scramble, which was provided when Paris Saint-Germain and Manchester City joined the race for De Jong's signature in 2018.It was a fight Barcelona could not afford to lose.Excitement around De Jong had been building ever since he helped engineer Ajax's dismantling of Real Madrid in the Champions League, while Barca's own failures in the tournament meant the craving for young talent had morphed into something closer to desperation.There was political pressure too.The club's president Josep Maria Bartomeu faced anger about repeated capitulations and an increasingly unrecognisable style of play, all on the back of Neymar's humiliating departure to PSG.- Poster boy -The prospect of PSG, a state-funded club, with its perceived lack of identity or history, again beating Barcelona to a player like De Jong, a poster boy for almost everything Barca stood for, was unthinkable.Barcelona paid 75 million euros for De Jong, with a further 11 million euros due in variables, and a club announcement explained in its third paragraph how ""the president Josep Maria Bartomeu and CEO Oscar Grau were personally involved in closing the deal"".""In some ways I've always been a Barcelona player,"" said De Jong, with Camp Nou behind him.Yet in the rush to be seen to buy young, bolster the team's identity, beat PSG and boost the popularity of the president - what was Barcelona's plan for De Jong?How did they expect to improve or even accommodate this talented 21-year-old?In the first game of the season, Barcelona's then-coach Ernesto Valverde offered a show of faith by fielding him ahead of Sergio Busquets. But Barca struggled, Busquets was restored and De Jong shifted to the right of the midfield three.In his two and a half years, De Jong has played right, left, defensive and attacking midfield, as well as right-wing and centre-back. He has played under four permanent coaches, seen Messi leave and Barcelona surrender its status as a serious European club.His best position remains unclear and his future is now in question.Barcelona's financial meltdown means any significant sale is always tempting and De Jong has been linked to both Manchester clubs in recent weeks.He would likely fetch more than 50 million euros in either January or the summer transfer window.For now, the onus is on De Jong to take what could be his last chance under Xavi, to satisfy lofty expectations and make good on a signing that was arguably seen as an end in itself, with too little thought for what came next.",sports
7,"Bangladesh suffered an embarrassing defeat by an innings and eight runs against Pakistan in the rain-affected second Test of the two-match Test series at the Sher-e-Bangla National Cricket Stadium in Mirpur.  Having crumbled to 87 all out in the morning on the fifth day, the hosts were asked to follow on while trailing by 213 runs. And after 83 overs of batting in the second innings, the Tigers were bundled out for 205.   After two 40+ knocks from Liton Das and Mushfiqur rahim in the second innings, Bangladesh at one stage found themselves at 198 for six after 75 overs and were in with a chance of salvaging a draw after Shakib scored a successive team-highest score and more importantly had brought up an impressive fifty partnership with Mehedi Hasan Miraz.But then Pakistan skipper Babar Azam pulled a rabbit out of the hat and decided to bring himself on to bowl the second over of his Test career, in an attempt to break the seventh-wicket stand. The decision immediately paid dividends for the visitors as Miraz was trapped in front trying to play across the line. Miraz's patient 70-ball 14-run knock was spoiled by the sweep shot, which also got the better of him in the first innings.    There was still some light at the end of tunnel for the Tigers with Shakib Al Hasan still at the crease. However, he too departed in the next over, on 63 off 130 balls, having failed to read a sharp turning delivery from Sajid Khan which ended up dismantling the off stump.Sajid went on to scalp the wickets of Khaled Mahmud and Taijul Islam after Taijul and Ebadot Hossain frustrated the visitors with a 34-ball partnership for the last wicket stand.With four wickets in the second innings, Sajid accomplished a stellar 12-wicket haul in his fourth appearance in Tests while Pakistan add maximum ICC World Test Championships points with a 2-0 series win against Bangladesh.",sports
8,"Premier allrounder Shakib Al Hasan has achieved another career milestone as he became the quickest player to reach the elite club of players with 4000 runs and 200 wickets in Test cricket.After scoring a team-highest of 33 in the first innings of the Dhaka Test yesterday, Shakib was 34 runs short of the landmark on his 59th appearance for the Tigers in the longest format. And with a inside-out drive to Sajid Khan for a boundary in the 56th over of the second innings, the champion performer finds himself among the illustrious company of the likes of Gary Sobers, Ian Botham, Kapil Dev, Jacques Kallis and Daniel Vettori.The left-hander, currently batting to salvage a draw for his side against the odds on the final session of the Test against Pakistan, took 10 Tests fewer than Botham, who acheived the double feat from 69 appearances. Despite being wicketless in the ongoing Test, Shakib boasts 215 wickets in his tally so far, 20 short of Sobers. ",sports
9,"Mushfiqur Rahim fell two runs short of a half century as Bangladesh keep spiralling deep into trouble on the fifth day of the Dhaka Test.At Tea, Bangladesh are trembling at 147 for 6 after 52.1 overs, with a session left to play on the fifth day of the second Test at the Sher-e-Bangla National Stadium in Mirpur.When Mushfiqur attempted a reverse sweep to Sajid Khan in the 48th over of the second innings, the writing was on the wall for the experienced batter it seemed. And just at the stroke of Tea, Mushfiqur lost the plot completely when he called for a cheeky single and then managed to ran himself out at the striker's end after his 136-ball 48-run knock. The umpire was reluctant to pass the call to third umpire at first but replays showed that Mushfiqur failed to slide the bat onto the ground by the moment wicketkeeper Mohammad Rizwan dislodged the bails.     Shakib Al Hasan is unbeaten on 25 off 56 deliveries and will be hoping to get all the support from the likes of Mehedi Hasan Miraz and Taijul Islam.  Pakistan, on the other hand, will be looking to wrap up this game and clean sweep the Test series as early as possible, in case bad light stops play prematurely. Shaheen Afridi, Hasan Ali has scalped two wicket for the visitors while Sajid Khan, the star of the first innings with a eight-for, picked the important wicket of Liton Das. ",sports
